Firstnames,Lastnames,Fathername,Mothername,Gender
NURSUN 184,KIREMIT 697,ZUHTU 3215,CEZMINUR 580,F
HURDES 240,BURUCU 770,HAYDAR 46121,SAFIYA 1089,F
HABIL 2915,DEMIRCIOGLU 10603,REFET 361,SAFAK 3751,M
RAMAZAN 286399,DOGAN 281288,HUSREV 1115,SERIFE 164464,M
SEMRA 101225,IMRAK 1724,SATILMIS 23411,MESADET 205,F
AYBEN 1111,KUTLUER 1132,ALICAN 6095,ZINNURE 116,F
NIGAR 24847,KARAHASANOGLU 1586,SINASI 8096,MURSUDE 187,F
NADIA 103,ULGUR 556,ALI 1026732,KERIME 13590,F
DUNYA 1205,BURCAK 1156,GUNAY 8221,PELUZE 119,F
MEMILI 276,KAVALCI 3207,OZGEN 1368,NURSIN 530,M
CUNEYIT 1275,SAHINER 7373,EYVAZ 268,NERGUL 2004,M
HEZNI 194,ANILIR 711,ZEYNAL 4803,SIMAY 665,F
BEKE 103,KUSOGLU 1793,TAHSIN 43189,MEMNUNIYE 216,M
EBUZER 410,ISLEYEN 4112,MUHAMMER 4226,FENDIYE 773,M
PERIZAN 143,TURKMAN 640,IDRIS 39862,AYGUL 16964,F
DEFNE 735,TANRISEVEN 1035,SERACETTIN 1925,MUSALIYE 103,F
HAMIYYET 222,ASLANDAG 747,CUMALI 16728,NEVZAT 890,F
GUHAR 130,SENATES 618,GUNGOR 10690,ZAHIDE 50371,F
MELIH 13195,ALAN 22813,SUPHAN 589,CAHIDE 15654,M
ORHAN 134281,CAN 139537,MERIH 1063,KADRIYE 120624,M
BERRIN 16426,SANVER 1539,ESER 5535,ZEMIRE 180,F
SABINE 122,IGNECI 599,BERAT 4662,GULDEN 18117,F
AYSU 2569,OZSARAC 1298,ABDULLAH 202199,ILHAMIYE 139,F
DILSAH 4569,GOZUKUCUK 1381,NAZIR 1877,REDIYE 154,F
ERSEL 1741,OZKURT 8561,ALIYAR 302,ISMINAZ 2532,M
MINTIHA 138,GUNBEYI 631,RAHMI 21988,HICRAN 10904,F
NURIFE 232,DUTAR 760,UMUT 29199,GULU 1002,F
MESHURE 236,BESIROGLU 764,SALIM 35153,IKLIME 1035,F
ILBEY 242,AKCICEK 2968,SINAN 82140,ESTER 461,M
AYTUL 4208,SELCIK 1369,ERDEN 1676,NAZAR 151,F
BEDIRNAZ 152,YAVER 655,OMER 279963,NEZAHAT 35086,F
IMRAL 123,PANCAR 1990,FELEMEZ 1595,NEVSE 252,M
HICRAN 104,GUCUK 1804,REMZI 47503,MASITE 217,M
TAYYIBE 2722,CIVIL 1307,ZEYNETTIN 1155,SEMI 141,F
REBIYE 905,DUVARCI 1081,BARAN 3323,CEZAIR 109,F
FERDIYE 508,TURUN 960,ZIYA 40347,LALE 14672,F
SEVENGUL 214,BACANAK 738,SITKI 11278,SEREF 811,F
AVRAM 228,DENIZHAN 2852,MUAMMER 49985,AYNO 433,M
ENBIYE 829,BASARI 1059,BESTAMI 2748,RIZKAT 107,F
SEDIK 260,YUCESOY 3078,GURDAL 1191,ZALE 494,M
REBII 117,KEL 1940,HAFIZ 1337,AZADE 241,M
TOLGAY 651,BAYRAKCI 5294,ASIM 19129,EMRE 1159,M
VEHIP 245,ERSAHIN 2977,IHSAN 86392,AYDIN 464,M
MEHMET 1681875,YILMAZ 712777,UMUR 1137,FATMA 1228298,M
MINTEHA 438,MOTOR 925,SAIM 15358,SAFINAZ 7138,F
SERTAC 195,TEKINBAS 713,ZUBEYIR 4921,SEFERIYE 671,F
SELVA 2670,TUC 1304,ERDIN 1139,HEMDIYE 140,F
MIHRACE 130,PEKEDIS 617,ISKENDER 10368,NIHAL 47434,F
MISTIK 274,MEMISOGLU 3193,ATTILA 1343,TERLAN 520,M
TAYAR 145,YORUKOGLU 2209,MUKREMIN 3451,VEZIRI 292,M
GOKTAN 264,AYAYDIN 3116,BEDI 1243,SAHIN 503,M
MUNIF 153,TANRIOVER 2275,ORCUN 4274,MARIFE 305,M
DINAR 262,CELIKTURK 794,HUDAI 1164,MESURE 1315,F
MURAT 440121,OZTURK 361304,GOKTUG 1118,SULTAN 179159,M
SEHRIYE 6266,HANCIOGLU 1425,HASBI 2545,GOZDEM 160,F
MUTULLAH 289,BIRLIK 3290,MURAD 1510,FULDEN 555,M
ATACAN 575,CAMUR 4948,CAGLAR 12009,IKLIME 1035,M
RESIDE 3746,CABBAR 1354,INANC 1471,NEVCAN 148,F
PERTEV 240,YILGIN 2939,NIHAT 72235,SEMIN 455,M
MURSELIN 137,TOLAY 630,FAIK 19698,AYSER 10478,F
HAYIC 101,GUZELDAL 552,AYDIN 84877,HIDAYET 10769,F
TOYGAR 236,DIZDAR 2915,SELIM 64614,BESRAI 448,M
VILAYET 119,AYLAN 591,MIKDAT 3508,BEHICE 12716,F
ATIK 779,KIRIK 5690,SAVAS 33354,MEVLIDE 1307,M
BAHIRE 1881,BASARA 1245,MUHAMMED 35475,TUZUN 131,F
DELIL 292,AYKANAT 3317,MIRZA 1596,GULFIRAZ 564,M
IKBALE 197,SURMELIOGLU 716,BINALI 5445,GULSEVIN 685,F
SAZI 269,CALLI 3171,BUNYAMI 1298,HICAZIYE 514,M
TULUN 3574,TASOGLU 1350,ASUR 1413,DURSINE 146,F
FATIK 1009,O 1106,ELVAN 4456,NURINNISA 113,F
NESIDE 907,AKSEKI 1081,HASIP 3345,BEYCE 109,F
MUZEHHER 973,TOKTAY 1099,SAHABETTIN 4037,APTA 111,F
YURDASEN 174,KULELI 683,CEYLAN 2284,HACIKIZ 516,F
SULBIYE 3720,SELAMET 1354,SEMSI 1466,ZEKO 148,F
HERMAN 201,ILDIZ 2673,ERDINC 19436,SERENGUL 386,M
UMMUSEN 415,USTUNBAS 913,SELMAN 10964,SEVTAP 5755,F
ISMIGUL 4185,EFILOGLU 1368,ZABIT 1671,RAFIDE 151,F
GULAGA 530,AYTAS 4769,BEDRI 9406,MUZEHHER 973,M
NOFE 232,YALAMA 761,RESUL 29213,EREN 1002,F
FURKAN 114,NISLI 582,OGUN 2602,NURIYE 75494,F
MAVISEN 103,CIGIL 556,ABDO 1141,ASLIHAN 13759,F
RAILE 443,KIRKAN 927,SEVKI 15877,SEZEN 7375,F
RAIM 255,AKALAN 3030,SENDOGAN 1151,HADIME 487,M
SIRVAN 1444,SADIK 1192,ERGIN 14803,NURDANIYE 124,F
GEVI 616,BISGIN 996,MENSUR 1236,SABRIYE 38474,F
GURCIYE 332,SELAM 857,ARAP 3362,FITNAT 2537,F
SITARE 174,KAYNAKCI 683,GUNEY 2288,GULINAZ 516,F
SAVET 153,TAYANC 655,OSMAN 340200,KAMILE 35523,F
FEHIME 16569,COMART 1541,HADI 5570,SENBAHAR 180,F
KOC 153,AKGUNDUZ 2275,OZDEMIR 4276,IDA 305,M
SUBUTAY 211,CEPNI 2750,SELAMI 28256,IKLIMA 403,M
UNER 306,YUZER 3411,TOLGAHAN 1832,MELIKA 586,M
ADISAH 101,SORGUC 553,EROL 95386,SUNDUS 11002,F
TUGRAN 190,NAVRUZ 2575,KORAY 14224,FIRKAT 366,M
GULUMAN 109,PARLA 572,BISAR 1676,NAIME 33387,F
GUNNAR 187,SAGBAS 702,HANEFI 3634,CAFIYE 607,F
YILDIR 167,KOYMEN 2380,DINCER 6227,HACIR 322,M
TOMRIS 1121,IREZ 1136,SEYFULLAH 6305,NURTANE 116,F
NARHANIM 371,KARACAOGLAN 884,NEJAT 5804,SULBIYE 3720,F
SELATTIN 689,BEKCI 5497,SERAFETTIN 24905,GOZEL 1207,M
KAYIHAN 178,TAHTACI 2485,NEBI 9121,BERFO 343,M
SEBAHITTIN 926,AGIRMAN 6265,OZGUR 61928,IMHAN 1511,M
TALIBE 158,KALCIK 661,MULAYIM 1257,GUL 55480,F
ZEHNI 1530,CANTURK 8134,VEHAP 291,MUSLIME 2337,M
TESMIYE 165,KOLA 671,REYHAN 1567,YASEMIN 148887,F
SEHA 139,MUFTUOGLU 2149,EGEMEN 2981,BERLIN 280,M
ALISE 105,SOZCU 563,ILTER 1301,BERNA 18698,F
ALMAZ 137,KANARYA 630,BUNYAMIN 20453,SEVGUL 10613,F
DEVRIS 1387,KIBAR 7727,ECVET 281,EVREN 2119,M
NAHILE 245,YEDEK 776,FERHAT 57891,SEHEL 1126,F
KARAHAN 249,KORPE 3005,HAKAN 156932,MAILE 473,M
YASAGUL 635,KONU 1003,MERDAN 1285,SUKRIYE 44888,F
FEHMIYE 2805,PESEN 1312,ATANUR 1173,MEVLA 141,F
MUSLIM 2825,YAKAR 10423,ABDULFETTAH 354,AISE 3599,M
VATFA 454,UCMAK 933,REFIK 17575,EMIR 8309,F
TURSUN 793,KULAKSIZ 5737,MUHAMMED 35475,MAVUS 1325,M
SEBATTIN 369,KOPRULU 3781,CELEBI 3028,CEMRE 697,M
HARSI 117,ERKOYUNCU 589,NUR 3286,HIDAYET 10769,F
SULEYHA 780,KUCUKBAS 1046,GUNEY 2288,MUNIRA 105,F
NURDANE 6013,PERK 1419,CASIM 2470,MUSLIMET 159,F
MUSTAFA 991411,DEMIR 463856,HULKI 1137,EMINE 787302,M
DURHASAN 791,SIK 5713,SALIM 35153,MESURE 1315,M
ZEYNETI 742,ABDIOGLU 1036,CEMALI 1969,HUSRA 103,F
SEVRIYE 188,SABAK 703,POLAT 3721,NEBIHAT 610,F
EFTAL 126,OVUNC 609,SABIT 7209,SINEM 30349,F
HUSNIYE 26610,KESKINOGLU 1599,KAHRAMAN 8548,MINTAHA 188,F
HAZIME 2233,YER 1277,ISA 67351,SENAN 136,F
MARIN 122,BASDAG 600,ZEYNAL 4803,ZULFIYE 18396,F
JAKLIN 168,ONES 676,ZIVER 1833,NEVREZ 488,F
SEREFHAN 110,GUNCU 1874,METIN 154711,HEDO 229,M
ELIFI 125,TARTAN 607,SUPHI 6624,KEVSER 27201,F
SITTIK 478,AYKAN 4444,SUAYIP 6892,NAZ 890,M
CELIK 513,YALVAC 4652,VEHBI 8717,RABIYA 950,M
MUNUFE 381,BAGIR 892,IMAM 6843,SEMIRE 4106,F
LAIKE 123,BASGUL 602,FAYSAL 5250,KUDRET 19423,F
NAKIFE 119,MAMUR 592,NUREDDIN 3703,ELVAN 13021,F
GURBET 14845,OT 1520,BEDIR 4921,JIYAN 177,F
ELHAN 108,UZUNEL 571,FELEMEZ 1595,SENEM 29019,F
SEVIC 110,SARISIN 574,KORKMAZ 1829,YELIZ 37232,F
ZEKINE 2786,BALKI 1309,HUDAI 1164,NEZIHAN 141,F
ANDAC 479,KURTULMUS 4452,ULAS 6968,RECEBIYE 892,M
MEVSIM 226,INCEDAL 753,KEREM 20076,AREFE 933,F
GULSADE 1148,ONUS 1143,BATTAL 6939,MIHMAN 117,F
GILMAN 351,FALAY 869,GARIP 4268,NULUFER 3064,F
SIHO 1363,BAKI 7597,BILHAN 276,GULTER 2070,M
HALISE 23715,ADAY 1581,MEMIS 7509,MUSRIKA 186,F
BIRINCI 146,CAYHAN 646,SELIM 64614,NAILE 23425,F
MUZEFFER 143,ERIN 2185,ATIF 3319,DURSUNHATUN 288,M
YILDIRIM 11388,OKUR 20954,OZNUR 564,MUJGAN 13669,M
SERDA 933,KUYU 1086,BESIM 3602,HUSNI 110,F
LUKMAN 240,ACAN 2939,UMIT 72587,NURSEMA 455,M
LAYIHA 132,KIZILCAN 621,UZEYIR 12338,NERMIN 66039,F
INCILA 132,KASARCI 621,FAZLI 12480,CANAN 66683,F
KUTBEDDIN 410,CAYMAZ 4101,ABDIL 4197,SEVLI 773,M
MUSUR 131,KOKTURK 2079,HUDAVERDI 2269,ESREF 268,M
KAZI 330,CELIKTAS 3544,BOZAN 2251,HACCA 620,M
MUVEDDET 1136,KIZIR 1142,ISLAM 6864,NEDRIYE 117,F
SEFRE 203,KOPRUBASI 725,ENIS 7195,SERVINAZ 727,F
RAUF 2759,KARDAS 10350,GUNDOGDU 353,AYSAN 3548,M
AYFER 189,TEBER 2573,MIKAIL 13807,CUMHURIYET 365,M
SERTUG 106,PATIR 1826,ONUR 56131,GULTANE 220,M
BAGIYE 152,YAKALI 655,RAMAZAN 286392,NUR 35213,F
FADILA 113,KUSTEPE 580,KANBER 2457,NURAN 67127,F
ALIHAN 1454,SEKERCI 7963,ALIPASA 285,UMMIHAN 2248,M
HASBI 2545,AGCA 10010,ONAT 345,NEBILE 3332,M
HUDAYIM 118,TEZ 1948,CIHAD 1360,INCE 243,M
MIRZEYDIN 131,KAL 2079,NECMEDDIN 2284,SEBIL 269,M
LEMYE 276,DURLANIK 809,SAFI 1424,ADIFE 1513,F
MUCTEBA 247,ASKAN 2992,YILMAZ 108808,TUTKU 469,M
HAMIRE 261,IMDAT 793,ABDULVAHIT 1145,HANSE 1298,F
KEMAL 181998,KOC 167972,DOGUS 1095,ZEHRA 149355,M
HAVALI 140,TOPRAKLI 635,COSKUN 28663,MENSURE 13490,F
SADUMAN 108,ALBAS 1846,YAKUP 73875,AHIZER 224,M
ELVAN 4456,BAHADIR 12949,ILKIN 423,SEVTAP 5755,M
OZBAY 380,KUMAS 3875,MALIK 3295,FERAHNAZ 710,M
HANGUL 468,DAMGACI 942,MUSLUM 23347,SUMEYRA 9726,F
HAZRET 350,UCKUN 3679,MEHDI 2728,HEVI 667,M
SELVER 17698,BUKE 1549,ALP 5827,PERIN 181,F
DIYAR 119,YIGITTEKIN 595,ECEVIT 3908,ASLIHAN 13759,F
SEVGIN 540,BALKAYA 4812,BESIR 10335,SENCAN 995,M
FERZI 274,TOPTAN 806,KASIF 1370,AYSA 1515,F
ASUMAN 26805,TOKUS 1601,SEZER 8624,MAHBUB 188,F
MEYSE 302,ELCIK 828,METEHAN 2188,BAHIRE 1881,F
LAMIHA 175,BACIK 684,MESTAN 2422,RATIBE 523,F
ZIBET 145,KARAYER 643,MUAMMER 49985,NESIBE 19037,F
DURCAN 1233,MADAK 1163,SEHMUS 9105,BIRAN 119,F
SABRINAZ 110,KOCADAYI 574,ZIVER 1833,SAKINE 37782,F
MAHSEKER 184,KARABOYUN 697,ABDULLATIF 3247,TEVFIKA 582,F
CILNAZ 131,BAKIM 620,TUNCER 11962,SALIHA 63808,F
KEMAL 182003,KOC 167977,DOGUS 1100,ZEHRA 149360,M
ADAVIYE 193,VESKE 711,BERAT 4662,OLGA 659,F
GURSUM 106,OYAR 566,OZGEN 1368,YASAR 20662,F
LATIFA 548,OZKAHRAMAN 971,CEMIL 65730,GULNAZ 19030,F
ZUBUDE 247,KOCACIK 777,KAZIM 63387,MUVEDDET 1136,F
SALIH 156879,CAKIR 145586,UYSAL 1077,SONGUL 132675,M
HATCA 102,ELBAY 554,YASAR 161295,SEMSI 12795,F
ZEYNIYE 228,ALI 754,RAHMI 21988,VETHA 947,F
EMRA 530,SEKI 967,HALIT 54064,NEZIHA 17210,F
ALIHAYDAR 355,PAMUKCU 3712,ALISAN 2848,REVASIYE 676,M
IMMIHANI 135,ELIBUYUK 626,HUSAMETTIN 16714,SEMRA 101225,F
ERAN 123,SAHINGOZ 1992,IBIS 1608,RUHAT 253,M
SERYA 166,OZCALIK 672,KERAMETTIN 1625,ELIF 216261,F
ZATINUR 223,GULGOR 748,GALIP 16919,RECEBIYE 892,F
VADULLAH 132,CEKICI 2086,IMRAN 2345,GULSELI 270,M
INCIFER 217,RUSEN 743,SEMSETTIN 13821,ELANUR 844,F
KAMAL 436,KANAR 4240,MASALLAH 5024,NUSRET 812,M
KUBULAY 340,PALAZ 3609,CENGIZHAN 2489,GULSIMA 645,M
VAHIDE 19007,CALIKUSU 1562,SERHAN 6422,VASILE 183,F
VERDEK 337,YONAR 860,MIKDAT 3508,ZINI 2621,F
RAFIYE 3292,KARAMUK 1338,ATTILA 1343,SIRANUS 145,F
SULEYMAN 214213,ASLAN 208159,LEZGIN 1106,AYSEL 154642,M
NESEGUL 610,YENTUR 995,MUKADDER 1185,GULHAN 35007,F
FETTULLAH 158,ERDEMLI 2314,GURHAN 4950,MUZEHER 312,M
ABDULSETTAR 107,BEKMEZ 1844,RIZA 71483,SELDAG 224,M
DILDAR 325,KAZICI 852,NASUH 3170,SADIFE 2415,F
HAMIYET 15684,SINANOGLU 1532,SERTAC 5298,BIRIVAN 178,F
KIMYA 516,KARATUT 962,SAIT 46511,ALEV 15613,F
HAMDIYE 19420,KIVILCIM 1567,MEMDUH 6664,ZIYAVER 184,F
ESRAF 237,TASCIOGLU 2925,ISA 67351,RUHSEN 451,M
SAFIYYE 131,KEREMOGLU 619,MECIT 11273,GULCAN 59668,F
ALEATTIN 158,TITIZ 2317,OZAY 4991,HAZNI 312,M
NESIHA 352,ILBEY 870,DEDE 4307,GAYE 3099,F
MURRUVET 163,ORKI 668,ALIHAN 1454,ARZU 96731,F
GULAY 89009,PARMAK 1713,ESREF 20757,YADIKER 204,F
MENNAN 492,HAMARAT 4502,RUSTU 7472,BENAN 912,M
HARBINAZ 395,BAGCIOGLU 899,SECKIN 8449,MUNURE 4731,F
HAZINE 912,YELTEKIN 1083,TEOMAN 3363,YILDA 110,F
ZEYNI 1126,CEBIR 1138,ONER 6535,HUZUME 116,F
SEBAHETTIN 386,ATILLA 3926,ULVI 3373,SEHAR 722,M
ODUL 148,GENCAN 648,RIZA 71483,NAZIRE 24714,F
GULUSUM 430,KIRKIZ 920,TEMEL 13184,KAMER 6554,F
BARKIN 434,KUCUKKAYA 4225,BEDIR 4921,MAHPERI 808,M
TOYGUN 214,SAR 2769,HILMI 31447,KASIDE 409,M
RAIZE 158,ERZINCAN 661,SADUN 1258,MUZEYYEN 57962,F
BAYRAMHAN 102,VARDAL 555,SULEYMAN 214209,ELVAN 13021,F
HATIKE 432,DARGIN 921,OZER 13339,HUMEYRA 6684,F
DICLEHAN 108,USAKLI 571,KALENDER 1604,YESIM 29455,F
PERMIN 342,KURCAN 864,ZULFIKAR 3771,ZUBEYDA 2763,F
CAGLAR 841,NIGDELIOGLU 1064,HAMI 2870,ESRIN 107,F
AYTUNC 525,TERCAN 4719,SADULLAH 9039,ERDEM 958,M
MEHMEDI 188,BILDIRICI 2553,GURSEL 12731,SEBAHA 362,M
HUBRIYE 300,ARIFOGLU 826,ABDULSAMET 2116,SAHSINE 1851,F
SEBAHADDIN 872,SAVCI 6109,BURHAN 50940,RASIDE 1439,M
SADI 12219,GUNAYDIN 21786,BEREKET 578,GURBET 14845,M
BATUHAN 3013,CAKIROGLU 10801,SEBATTIN 369,KANIYE 3888,M
LEMIA 299,KURTCEBE 826,HICABI 2105,SABIYE 1833,F
ERGUDER 189,KUT 2571,LOKMAN 13688,MISRI 365,M
BENGISU 325,KARACIZMELI 852,SIRAC 3175,FERISTAH 2416,F
NURITTIN 2819,SUNGUR 10411,KUTLUHAN 354,HORU 3585,M
GERDAN 127,DARA 611,RUHI 8025,OZNUR 34812,F
IRADE 101,TAYMUR 552,NURI 82181,MURADIYE 10671,F
TENZILE 9239,TACYILDIZ 1468,ARAP 3362,DAIME 167,F
RUFAI 183,KARAOZ 2531,TALAT 11028,SUSIN 354,M
BESNE 624,TASKOPRU 999,GOKCE 1247,MEHTAP 41322,F
EMANET 284,YEGIT 817,DURSUNALI 1612,UMUT 1600,F
ESAT 13709,DEVECI 22983,NEVRUZ 595,FIRDES 15958,M
NERKIS 126,BOZAK 608,TANJU 7046,GULBAHAR 29453,F
METIN 154716,KORKMAZ 144094,NIMETULLAH 1072,ZELIHA 131368,M
SAHIRE 1043,GEYLAN 1113,HIZIR 4974,HAPSE 114,F
FARIZ 735,BARDAKCI 5581,TOLGA 28587,HADRA 1246,M
GENCO 560,GURGEN 4890,CIHAT 11195,ISMINUR 1022,M
MUJGAN 13669,KIRAZLI 1514,ZIHNI 4693,ZELFINAZ 176,F
FEREC 194,ESIYOK 2623,HIDIR 16545,MAVILI 374,M
GULUZ 165,AKYUZLU 671,DURSUNALI 1612,OZLEM 165682,F
MUNIFER 117,BAGBASI 588,GANI 3249,SEVGUL 10613,F
MIHRIYE 2470,GORGU 1292,BEKIR 100567,HEBIBE 138,F
HASEM 349,SINAN 3666,FETHULLAH 2697,SIMAY 665,M
RUCHAN 432,OLGAC 4212,KAYHAN 4868,AYSEANA 803,M
ABDUSSAMET 711,HAYTA 5524,FEHMI 25733,GONCAGUL 1223,M
MEVLIT 940,ALTUG 6339,CEMIL 65730,KIYAFET 1525,M
ULKUYE 247,SINGIN 778,KAMIL 64091,YUSRA 1148,F
EMSILE 204,UTANC 727,EBUBEKIR 7967,MARIA 743,F
OSMAN 340208,OZDEMIR 331838,BEHLUL 1121,SEVIM 168471,M
HILAL 957,CAL 6355,MUHARREM 68950,KIBRIYE 1533,M
ZINNUR 342,SACAKLI 864,SATI 3767,MAHIYE 2762,F
SEMIRAMIS 214,ASGIN 738,YILDIRIM 11388,NEZEHAT 811,F
DESTE 903,ADLIM 1079,UMMET 3309,EFRUMIYE 109,F
MUBIN 151,AKCI 652,GOKHAN 114380,OZGE 31043,F
EKIN 798,CIVAN 5760,HAYRETTIN 36619,BULBUL 1332,M
MAHISEKER 582,ANGAY 985,KEMAL 181997,KEVSER 27201,F
ELVIDE 1242,ONGOREN 1165,IMDAT 9403,TAHMINE 120,F
BINGOL 788,ARSOY 1049,RIFKI 2398,FATUMA 105,F
BEHIDE 211,KUCUKTEPE 735,SEYFI 10592,BEHIRE 792,F
JAK 205,KURTUL 2711,NAZMI 24276,SUSENBER 395,M
MUKATDES 196,HILAL 715,SERTAC 5298,NEZAFET 681,F
TURAN 328,USLUOGLU 853,ZUHTU 3215,GULSUME 2451,F
BELKIYE 162,KAPU 667,ABDURREZAK 1427,NURTEN 88449,F
TANZER 659,ATASEVER 5327,FERDI 19974,SUPHAN 1168,M
ACAR 107,SURUN 569,SEMSI 1466,ESME 25261,F
CEZAYIR 173,UZUNAL 683,ERKIN 2258,VERDI 515,F
